marker,clinical_variable,spearman_rho,p_value,n,q_value
dcq_25,gags,0.010697866548283022,0.886660512944239,180,0.886660512944239
dcq_25,disease_duration,-0.10218485743637397,0.17225983779739024,180,0.43064959449347556
dcq_25,age_onset,0.022212848266536366,0.7672476806429456,180,0.8836092375684881
dcq_25,age,-0.08286392202756006,0.2687723695872266,180,0.5375447391744532
dcq_25,bmi,-0.03294964443280828,0.6605851815600156,180,0.8836092375684881
dcq_143,gags,-0.1133986200184415,0.1295961698610801,180,0.43064959449347556
dcq_143,disease_duration,-0.1578363535360533,0.03433402417606783,180,0.3433402417606783
dcq_143,age_onset,0.0636260751504929,0.3961336722545391,180,0.6602227870908985
dcq_143,age,-0.1322359708814098,0.07680196773548485,180,0.3840098386774242
dcq_143,bmi,0.01947594982554989,0.7952483138116393,180,0.8836092375684881
