subgroup,marker,n_present,n_absent,rank_biserial_r,ci_low,ci_high,p_value,q_value
scarring,dcq_25,83,97,-0.07266178114519939,-0.24060986212892807,0.09628617563035649,0.4020683561434113,0.8596181765085898
scarring,dcq_143,83,97,-0.050304310023599585,-0.21526518444913675,0.11887964228046206,0.5621399083054557,0.8596181765085898
family_history,dcq_25,48,132,-0.19570707070707072,-0.38261521464646464,-0.006297348484848459,0.04507631609799964,0.4507631609799964
family_history,dcq_143,48,132,-0.04987373737373735,-0.23076862373737375,0.12884311868686874,0.610418140732033,0.8596181765085898
trunk_back,dcq_25,92,88,-0.07633399209486169,-0.23791378458498028,0.07869318181818163,0.3773345314646249,0.8596181765085898
trunk_back,dcq_143,92,88,-0.02495059288537549,-0.19641798418972328,0.14187252964426872,0.7736563588577309,0.8596181765085898
seborrhea,dcq_25,102,78,0.03318250377073917,-0.14563851181498244,0.21195324283559566,0.7042400912484312,0.8596181765085898
seborrhea,dcq_143,102,78,0.044243338360985485,-0.1367772750125691,0.20992332830568114,0.6124225051757051,0.8596181765085898
smoke,dcq_25,46,134,-0.05353666450356909,-0.25149253731343285,0.14508436080467227,0.5895466324781766,0.8596181765085898
smoke,dcq_143,46,134,-0.0029201817001947017,-0.20019467878001296,0.19733939000648928,0.9777606155670572,0.9777606155670572
